Property,Edge,Firefox,Chrome,Safari,Opera
accent-color,93,92,93,15.4,79
align-content,16,52,57,10.1,44
align-items,16,52,57,10.1,44
align-self,16,52,57,10.1,44
all,79,27,37,9.1,24
animation,10,16,43,9,30
animation-delay,10,16,43,9,30
animation-direction,10,16,43,9,30
animation-duration,10,16,43,9,30
animation-fill-mode,10,16,43,9,30
animation-iteration-count,10,16,43,9,30
animation-name,10,16,43,9,30
animation-play-state,10,16,43,9,30
animation-timing-function,10,16,43,9,30
aspect-ratio,88,89,88,15,74
backdrop-filter,17,70,76,9,63
backface-visibility,10,16,36,4,23
background,4,1,1,1,3.5
background-attachment,4,1,1,1,3.5
background-blend-mode,79,30,35,7.1,22
background-clip,9,4,4,3,10.5
background-color,4,1,1,1,3.5
background-image,4,1,1,1,3.5
background-origin,9,4,4,3,10.5
background-position,4,1,1,1,3.5
background-position-x,12,49,1,1,15
background-position-y,12,49,1,1,15
background-repeat,4,1,1,1,3.5
background-size,9,4,4,4.1,10
block-size,79,41,57,12.1,44
border,4,1,1,1,3.5
border-block,87,66,87,14.1,73
border-block-color,87,66,87,14.1,73
border-block-end-color,79,41,69,12.1,56
border-block-end-style,79,41,69,12.1,56
border-block-end-width,79,41,69,12.1,56
border-block-start-color,79,41,69,12.1,56
border-block-start-style,79,41,69,12.1,56
border-block-start-width,79,41,69,12.1,56
border-block-style,87,66,87,14.1,73
border-block-width,87,66,87,14.1,73
border-bottom,4,1,1,1,3.5
border-bottom-color,4,1,1,1,3.5
border-bottom-left-radius,9,4,5,5,10.5
border-bottom-right-radius,9,4,5,5,10.5
border-bottom-style,5.5,1,1,1,9.2
border-bottom-width,4,1,1,1,3.5
border-collapse,5,1,1,1.2,4
border-color,4,1,1,1,3.5
border-end-end-radius,89,66,89,15,75
border-end-start-radius,89,66,89,15,75
border-image,11,15,16,6,15
border-image-outset,11,15,15,6,15
border-image-repeat,11,15,15,6,15
border-image-slice,11,15,15,6,15
border-image-source,11,15,15,6,15
border-image-width,11,13,15,6,15
border-inline,87,66,87,14.1,73
border-inline-color,87,66,87,14.1,73
border-inline-end-color,79,41,69,12.1,56
border-inline-end-style,79,41,69,12.1,56
border-inline-end-width,79,41,69,12.1,56
border-inline-start-color,79,41,69,12.1,56
border-inline-start-style,79,41,69,12.1,56
border-inline-start-width,79,41,69,12.1,56
border-inline-style,87,66,87,14.1,73
border-inline-width,87,66,87,14.1,73
border-left,4,1,1,1,3.5
border-left-color,4,1,1,1,3.5
border-left-style,5.5,1,1,1,9.2
border-left-width,4,1,1,1,3.5
border-radius,9,4,5,5,10.5
border-right,4,1,1,1,3.5
border-right-color,4,1,1,1,3.5
border-right-style,5.5,1,1,1,9.2
border-right-width,4,1,1,1,3.5
border-spacing,8,1,1,1,4
border-start-end-radius,89,66,89,15,75
border-start-start-radius,89,66,89,15,75
border-style,4,1,1,1,3.5
border-top,4,1,1,1,3.5
border-top-color,4,1,1,1,3.5
border-top-left-radius,9,4,5,5,10.5
border-top-right-radius,9,4,5,5,10.5
border-top-style,5.5,1,1,1,9.2
border-top-width,4,1,1,1,3.5
border-width,4,1,1,1,3.5
bottom,5,1,1,1,6
box-decoration-break,79,32,22,6.1,11.5
box-reflect,79,,4,4,15
box-shadow,9,4,10,5.1,10.5
box-sizing,8,29,10,5.1,9.5
break-after,10,65,50,10,37
break-before,10,65,50,10,37
break-inside,10,65,50,10,37
caption-side,8,1,1,1,4
caret-color,79,53,57,11.1,44
@charset,12,1.5,2,4,9
clear,5,1,1,1,6
